"Aircraft_Make";"Aircraft_Model";"Aircraft_Series";"Incidentes";"Fallecidos"
"GRUMMAN";"S2F1";"NO SERIES EXISTS";2;0
"GRUMMAN";"TBM3";"E";6;0
"GRUMMAN";"TBM3";"UNDESIGNATED SERIES";1;0
"GULFSTREAM";"AA5";"A";111;0
"GULFSTREAM";"AA5";"B";178;0
"GULFSTREAM";"AA5";"UNDESIGNATED SERIES";78;0
"GULFSTREAM";"G1159";"NO SERIES EXISTS";44;0
"GULFSTREAM";"G1159A";"NO SERIES EXISTS";39;0
"GULFSTREAM";"G1159B";"NO SERIES EXISTS";8;0
"GULFSTREAM";"GIV";"UNDESIGNATED SERIES";62;0
"GULFSTREAM";"GIV";"X";1;0
"GULFSTREAM";"GIV";"X G450";6;0
"GULFSTREAM";"GULFSTREAM200";"NO SERIES EXISTS";5;0
"GULFSTREAM";"GV";"SP";1;0
"GULFSTREAM";"GV";"SP G500";1;0
"GULFSTREAM";"GV";"SP G550";1;0
"GULFSTREAM";"GV";"UNDESIGNATED SERIES";13;0
"HANDLEY PAGE";"HP137";"1";21;0
"HARMON";"ROCKET II";"NO SERIES EXISTS";3;0
"HATZ";"CB1";"NO SERIES EXISTS";3;0
"HAWKER SIDDELEY";"HS125";"1A522";2;0
"HAWKER SIDDELEY";"HS125";"3A";2;0
"HAWKER SIDDELEY";"HS125";"3ARA";7;0
"HAWKER SIDDELEY";"HS125";"400A";21;0
"HAWKER SIDDELEY";"HS125";"600A";19;0
"HAWKER SIDDELEY";"HS125";"600B";1;0
"HAWKER SIDDELEY";"HS125";"700A";43;0
"HAWKER SIDDELEY";"HS125";"700B";1;0
"HAWKER SIDDELEY";"HS125";"F400B";1;0
"HAWKER SIDDELEY";"HS125";"UNDESIGNATED SERIES";4;0
"HAWKER SIDDELEY";"HS748";"2B";3;0
"HAWKER";"400";"A";2;0
"HAWKER";"HAWKER";"800";1;0
"HAWKER";"HAWKER";"850XP";1;0
"HAWKER";"HAWKER4000";"NO SERIES EXISTS";1;0
"HAWKER";"HUNTER";"58";2;0
"HAWKER";"HUNTER";"58A";1;0
"HAWKER";"HUNTER";"66A";1;0
"HAWKER";"HUNTER";"UNDESIGNATED SERIES";2;0
"HEAD";"AX8 88";"NO SERIES EXISTS";7;0
"HEINTZ";"ZENITH";"NO SERIES EXISTS";6;0
"HELIO";"500";"NO SERIES EXISTS";1;0
"HELIO";"H250";"NO SERIES EXISTS";5;0
"HELIO";"H295";"NO SERIES EXISTS";33;0
"HELIO";"H391";"B";2;0
"HELIO";"H395";"A";1;0
"HELIO";"H395";"UNDESIGNATED SERIES";5;0
"HELIO";"H700";"NO SERIES EXISTS";2;0
"HELIO";"HST550";"A";1;1
"HELIO";"HST550";"UNDESIGNATED SERIES";2;1
"HILLER";"FH1100";"NO SERIES EXISTS";13;0
"HILLER";"H23A";"NO SERIES EXISTS";1;0
"HILLER";"H23B";"NO SERIES EXISTS";1;0
"HILLER";"OH23G";"NO SERIES EXISTS";4;0
"HILLER";"UH12";"NO SERIES EXISTS";3;0
"HILLER";"UH12A";"NO SERIES EXISTS";3;0
"HILLER";"UH12B";"NO SERIES EXISTS";7;0
"HILLER";"UH12C";"NO SERIES EXISTS";10;0
"HILLER";"UH12D";"NO SERIES EXISTS";13;0
"HILLER";"UH12E";"UNDESIGNATED SERIES";60;0
"HILLER";"UH12L";"4";2;0
"HILLER";"UH12L";"UNDESIGNATED SERIES";1;0
"HILLER";"UH23D";"NO SERIES EXISTS";1;0
"HISPANO AVIACION";"HA200";"UNDESIGNATED SERIES";7;0
"HORNET MICROLIGHTS";"HORNET";"RZA";4;0
"HOWARD";"500";"NO SERIES EXISTS";2;0
"HOWARD";"DGA15P";"NO SERIES EXISTS";17;0
"HUGHES";"269A";"1";1;0
"HUGHES";"269A";"UNDESIGNATED SERIES";23;0
"HUGHES";"269B";"NO SERIES EXISTS";24;0
"HUGHES";"269C";"1";15;0
"HUGHES";"269C";"UNDESIGNATED SERIES";120;0
"HUGHES";"369";"D";67;1
"HUGHES";"369";"E";29;0
"HUGHES";"369";"HE";2;0
"HUGHES";"369";"HS";23;0
"HUGHES";"369";"UNDESIGNATED SERIES";6;0
"HUGHES";"OH6A";"NO SERIES EXISTS";6;0
"HUGHES";"TH55A";"NO SERIES EXISTS";3;0
"HUMMEL";"HUMMELBIRD";"NO SERIES EXISTS";8;0
"IAI";"1121";"B";8;0
"IAI";"1121";"UNDESIGNATED SERIES";32;0
"IAI";"1123";"NO SERIES EXISTS";11;0
"IAI";"1124";"A";21;0
"IAI";"1124";"UNDESIGNATED SERIES";81;0
"IAI";"1125";"NO SERIES EXISTS";19;0
"IAI";"ARAVA101";"UNDESIGNATED SERIES";1;0
"IAI";"ASTRA SPX";"NO SERIES EXISTS";2;0
"IAI";"GALAXY";"NO SERIES EXISTS";11;0
"IAI";"GULFSTREAM200";"NO SERIES EXISTS";10;0
"IAR BRASOV";"IAR83";"NO SERIES EXISTS";5;0
"IAR BRASOV";"IS28";"B2";6;0
"IAR BRASOV";"IS28M2";"UNDESIGNATED SERIES";2;0
"IAR BRASOV";"IS29";"D2";1;0
"ILYUSHIN";"IL76";"UNDESIGNATED SERIES";2;0
"INTERSTATE";"S1A";"65F";1;0
"INTERSTATE";"S1A";"UNDESIGNATED SERIES";1;0
"INTERSTATE";"S1B";"1";5;0
"ISAACS";"SPITFIRE";"NO SERIES EXISTS";10;0
"JABIRU";"J170";"NO SERIES EXISTS";1;0
"JABIRU";"J230";"UNDESIGNATED SERIES";1;0
"JABIRU";"JABIRU";"SP";7;0
"JAVELIN";"WICHAWK";"NO SERIES EXISTS";5;0
"JEFFAIR";"BARRACUDA";"NO SERIES EXISTS";1;0
"JODEL";"D11";"NO SERIES EXISTS";3;0
"JUNKERS";"JU52";"UNDESIGNATED SERIES";3;0
"K AND S";"SA102";"5";2;0
"K AND S";"SA102";"UNDESIGNATED SERIES";4;0
"KAMAN";"HH43";"F";1;0
"KAMAN";"K1200";"NO SERIES EXISTS";6;0
"KAMINSKAS";"JUNGSTER";"I";2;0
"KAWASAKI";"C1";"UNDESIGNATED SERIES";1;0
"KAWASAKI";"KV107";"II";1;0
"KINNER";"SPORTSTER";"K";1;0
"KOLB";"FIRESTAR";"II";1;0
"KOLB";"FIRESTAR";"UNDESIGNATED SERIES";4;0
"KOLB";"TWINSTAR";"III";6;0
"KOLB";"TWINSTAR";"UNDESIGNATED SERIES";3;0
"LAKE";"250";"NO SERIES EXISTS";7;0
"LAKE";"LA4";"200";172;1
"LAKE";"LA4";"UNDESIGNATED SERIES";56;0
"LANCAIR";"200";"NO SERIES EXISTS";5;0
"LANCAIR";"235";"NO SERIES EXISTS";41;0
"LANCAIR";"320";"NO SERIES EXISTS";56;0
"LANCAIR";"360";"NO SERIES EXISTS";29;0
"LANCAIR";"ES";"NO SERIES EXISTS";4;0
"LANCAIR";"IV";"P";31;0
"LANCAIR";"IV";"UNDESIGNATED SERIES";22;0
"LANCAIR";"LC40";"550FG";5;0
"LANCAIR";"LC41";"550FG";23;0
"LANCAIR";"LC42";"550FG";7;0
"LANCAIR";"LEGACY2000";"NO SERIES EXISTS";8;0
"LEARJET";"23";"NO SERIES EXISTS";37;0
"LEARJET";"24";"A";10;0
"LEARJET";"24";"B";14;0
"LEARJET";"24";"BA";2;0
"LEARJET";"24";"D";36;0
"LEARJET";"24";"E";4;0
"LEARJET";"24";"F";8;0
"LEARJET";"24";"UNDESIGNATED SERIES";44;0
"LEARJET";"25";"A";1;0
"LEARJET";"25";"B";60;0
"LEARJET";"25";"C";8;0
"LEARJET";"25";"D";65;0
"LEARJET";"25";"F";1;0
"LEARJET";"25";"UNDESIGNATED SERIES";53;0
"LEARJET";"28";"NO SERIES EXISTS";1;0
"LEARJET";"31";"A";22;0
"LEARJET";"31";"UNDESIGNATED SERIES";12;0
"LEARJET";"35";"A";172;0
"LEARJET";"35";"UNDESIGNATED SERIES";44;0
"LEARJET";"36";"A";22;0
"LEARJET";"36";"UNDESIGNATED SERIES";8;0
"LEARJET";"45";"NO SERIES EXISTS";40;0
"LEARJET";"55";"B";1;0
"LEARJET";"55";"C";4;0
"LEARJET";"55";"UNDESIGNATED SERIES";53;0
"LEARJET";"60";"NO SERIES EXISTS";38;0
"LET";"L13";"UNDESIGNATED SERIES";36;0
"LET";"L23";"NO SERIES EXISTS";11;0
"LET";"L33";"NO SERIES EXISTS";1;0
"LIBERTY";"XL2";"NO SERIES EXISTS";18;0
"LINDSTRAND";"105A";"NO SERIES EXISTS";2;0
"LINDSTRAND";"LBL105A";"NO SERIES EXISTS";2;0
"LINDSTRAND";"LBL120A";"NO SERIES EXISTS";4;0
"LINDSTRAND";"LBL210S";"NO SERIES EXISTS";2;0
"LINDSTRAND";"LBL240A";"NO SERIES EXISTS";1;0
"LINDSTRAND";"LBL90A";"NO SERIES EXISTS";3;0
"LOCKHEED";"1049";"F55";1;0
"LOCKHEED";"1049";"H82";1;0
"LOCKHEED";"12";"A";4;0
"LOCKHEED";"1329";"25";9;0
"LOCKHEED";"1329";"UNDESIGNATED SERIES";36;0
"LOCKHEED";"1649";"A98";2;0
"LOCKHEED";"18";"50";1;0
"LOCKHEED";"18";"UNDESIGNATED SERIES";11;1
"LOCKHEED";"188";"A";29;0
"LOCKHEED";"188";"C";41;0
"LOCKHEED";"188";"UNDESIGNATED SERIES";17;0
"LOCKHEED";"382";"B";9;0
"LOCKHEED";"382";"E";6;0
"LOCKHEED";"382";"F";1;0
"LOCKHEED";"382";"G";16;1
"LOCKHEED";"382";"UNDESIGNATED SERIES";2;0
"LOCKHEED";"749";"A79";1;0
"LOCKHEED";"C130";"B";4;0
"LOCKHEED";"L1011 385";"1";236;0
"LOCKHEED";"L1011 385";"114";8;0
"LOCKHEED";"L1011 385";"115";29;0
"LOCKHEED";"L1011 385";"3";28;0
"LOCKHEED";"L1011 385";"UNDESIGNATED SERIES";202;1
"LOCKHEED";"P2V";"5F";5;0
"LOCKHEED";"P2V";"7";5;0
"LOCKHEED";"P3";"A";2;0
"LOCKHEED";"P38";"L";3;0
"LOCKHEED";"P38";"UNDESIGNATED SERIES";1;0
"LOCKHEED";"PV1";"NO SERIES EXISTS";2;0
"LOCKHEED";"PV2";"NO SERIES EXISTS";2;0
"LOCKHEED";"SP2";"H";7;3
"LOCKHEED";"T33";"NO SERIES EXISTS";11;0
"LOCKHEED";"UNKNOWN";"UNKNOWN";1;0
"LOCKWOOD";"AIR CAM";"NO SERIES EXISTS";6;0
"LONG";"MIDGET MUSTANG";"NO SERIES EXISTS";23;0
"LUSCOMBE";"11A";"NO SERIES EXISTS";3;0
"LUSCOMBE";"8";"A";131;0
"LUSCOMBE";"8";"B";4;0
"LUSCOMBE";"8";"C";4;0
"LUSCOMBE";"8";"E";74;0
"LUSCOMBE";"8";"F";24;0
"LUSCOMBE";"8";"UNDESIGNATED SERIES";7;0
"LUSCOMBE";"PHANTOM1";"NO SERIES EXISTS";2;0
"MARQUART";"MA5";"NO SERIES EXISTS";4;0
"MARTIN";"404";"NO SERIES EXISTS";4;0
"MAULE";"M4";"180C";1;0
"MAULE";"M4";"180V";2;0
"MAULE";"M4";"210";6;0
"MAULE";"M4";"210C";15;0
"MAULE";"M4";"220";6;0
"MAULE";"M4";"220C";36;0
"MAULE";"M4";"C";4;0
"MAULE";"M4";"UNDESIGNATED SERIES";31;0
"MAULE";"M5";"180C";31;0
"MAULE";"M5";"200";1;0
"MAULE";"M5";"210C";57;0
"MAULE";"M5";"210TC";1;0
"MAULE";"M5";"220C";20;0
"MAULE";"M5";"235C";89;0
"MAULE";"M5";"UNDESIGNATED SERIES";1;0
"MAULE";"M6";"180";3;0
"MAULE";"M6";"235";26;0
"MAULE";"M7";"235";26;0
"MAULE";"M7";"235A";2;0
"MAULE";"M7";"235B";7;0
"MAULE";"M7";"235C";15;0
"MAULE";"M7";"260C";7;0
"MAULE";"M8";"235";1;0
"MAULE";"MT7";"235";2;0
"MAULE";"MT7";"260";3;0
"MAULE";"MX7";"160";6;0
"MAULE";"MX7";"180";19;0
"MAULE";"MX7";"180A";7;0
"MAULE";"MX7";"180C";2;0
"MAULE";"MX7";"235";20;0
"MAULE";"MXT7";"160";3;0
"MAULE";"MXT7";"180";8;0
"MAULE";"MXT7";"180A";7;0
"MAX HOLSTE";"MH1521";"M";2;0
"MAXAIR";"DRIFTER";"NO SERIES EXISTS";8;0
"MBB";"BK117";"A1";7;0
"MBB";"BK117";"A3";18;0
"MBB";"BK117";"A4";10;0
"MBB";"BK117";"B1";17;0
"MBB";"BK117";"B2";12;0
"MBB";"BK117";"C1";7;0
"MBB";"BK117";"C2";1;0
"MBB";"BK117";"UNDESIGNATED SERIES";2;0
"MBB";"BO105";"C";21;0
"MBB";"BO105";"CB";1;0
"MBB";"BO105";"CBS";10;0
"MBB";"BO105";"LSA3";2;0
"MCCULLOCH";"J2";"NO SERIES EXISTS";1;0
"MCDONNELL DOUGLAS";"369";"E";3;0
"MCDONNELL DOUGLAS";"369";"FF";4;0
"MCDONNELL DOUGLAS";"600";"N";3;0
"MCDONNELL DOUGLAS";"DC10";"10";384;4
"MCDONNELL DOUGLAS";"DC10";"10F";20;0
"MCDONNELL DOUGLAS";"DC10";"15";3;0
"MCDONNELL DOUGLAS";"DC10";"30";80;1
"MCDONNELL DOUGLAS";"DC10";"30CF";36;0
"MCDONNELL DOUGLAS";"DC10";"30F";1;0
"MCDONNELL DOUGLAS";"DC10";"40";58;1
"MCDONNELL DOUGLAS";"DC10";"40F";1;0
"MCDONNELL DOUGLAS";"DC10";"UNDESIGNATED SERIES";82;0
"MCDONNELL DOUGLAS";"MD10";"10F";4;0
"MCDONNELL DOUGLAS";"MD11";"F";31;0
"MCDONNELL DOUGLAS";"MD11";"UNDESIGNATED SERIES";33;0
"MCDONNELL DOUGLAS";"MD88";"88";183;0
"MCDONNELL DOUGLAS";"MD90";"30";33;0
"MCDONNELL DOUGLAS";"MD900";"NO SERIES EXISTS";11;0
"MD HELICOPTER";"369";"E";1;0
"MD HELICOPTER";"369";"FF";1;0
"MD HELICOPTER";"500";"N";4;0
"MESSERSCHMITT";"HFB320";"NO SERIES EXISTS";7;0
"MEYERS";"200";"A";1;0
"MEYERS";"200";"C";1;0
"MEYERS";"MAC145";"NO SERIES EXISTS";4;0
"MEYERS";"OTW";"145";3;0
"MEYERS";"OTW";"160";1;0
"MEYERS";"OTW";"UNDESIGNATED SERIES";2;0
"MICCO";"MAC145";"A";2;0
"MICCO";"MAC145";"B";3;0
"MILITARY FIGHTER";"UNKNOWN";"UNKNOWN";2;0
"MITSUBISHI";"MU2";"NO SERIES EXISTS";18;0
"MITSUBISHI";"MU2B";"10";7;0
"MITSUBISHI";"MU2B";"20";42;0
"MITSUBISHI";"MU2B";"25";31;0
"MITSUBISHI";"MU2B";"26";14;0
"MITSUBISHI";"MU2B";"26A";14;0
"MITSUBISHI";"MU2B";"30";12;0
"MITSUBISHI";"MU2B";"35";38;0
"MITSUBISHI";"MU2B";"40";20;0
"MITSUBISHI";"MU2B";"60";46;0
"MITSUBISHI";"MU2B";"UNDESIGNATED SERIES";35;0
"MITSUBISHI";"MU300";"10";1;0
"MITSUBISHI";"MU300";"UNDESIGNATED SERIES";36;0
"MONG";"SPORT";"NO SERIES EXISTS";5;0
"MONNETT";"MONERAI";"UNDESIGNATED SERIES";3;0
"MONNETT";"MONI";"NO SERIES EXISTS";22;0
"MONNETT";"SONERAI";"2";33;0
"MONNETT";"SONERAI";"2L";2;0
"MONNETT";"SONERAI";"2LT";1;0
"MONNETT";"SONERAI";"UNDESIGNATED SERIES";21;0
"MONNETT";"SONEX";"NO SERIES EXISTS";30;0
"MONOCOUPE";"90A";"NO SERIES EXISTS";7;0
"MOONEY";"M10";"NO SERIES EXISTS";4;0
"MOONEY";"M18";"C";14;0
"MOONEY";"M18";"L";7;0
"MOONEY";"M18";"LA";6;0
"MOONEY";"M20";"NO SERIES EXISTS";57;0
"MOONEY";"M20A";"NO SERIES EXISTS";69;0
"MOONEY";"M20B";"NO SERIES EXISTS";59;0
"MOONEY";"M20C";"NO SERIES EXISTS";652;0
"MOONEY";"M20D";"NO SERIES EXISTS";46;0
"MOONEY";"M20E";"NO SERIES EXISTS";483;0
"MOONEY";"M20F";"NO SERIES EXISTS";416;0
"MOONEY";"M20G";"NO SERIES EXISTS";58;0
"MOONEY";"M20J";"NO SERIES EXISTS";663;0
"MOONEY";"M20K";"NO SERIES EXISTS";451;0
"MOONEY";"M20L";"NO SERIES EXISTS";11;0
"MOONEY";"M20M";"NO SERIES EXISTS";89;0
"MOONEY";"M20R";"NO SERIES EXISTS";61;0
"MOONEY";"M20S";"NO SERIES EXISTS";14;0
"MOONEY";"M20TN";"NO SERIES EXISTS";13;0
"MOONEY";"M22";"NO SERIES EXISTS";6;0
"MORANE SAULNIER";"MS760";"UNDESIGNATED SERIES";11;0
"MORANE SAULNIER";"MS893";"E";1;0
"MORANE SAULNIER";"MS894";"A";8;0
"MOSLER";"N3";"2";2;0
"MUDRY";"CAP10";"B";3;0
"MURPHY";"REBEL";"NO SERIES EXISTS";7;0
"MURPHY";"RENEGADE";"SPIRIT";1;0
"MURPHY";"RENEGADE";"UNDESIGNATED SERIES";1;0
"NAMC";"YS11";"A";17;0
"NAMC";"YS11";"UNDESIGNATED SERIES";45;0
"NANCHANG";"CJ6";"A";23;0
"NANCHANG";"CJ6";"UNDESIGNATED SERIES";7;0
"NATIONAL BALLOONING";"75 212";"NO SERIES EXISTS";2;0
"NATIONAL BALLOONING";"858";"NO SERIES EXISTS";2;0
"NAVAL AIRCRAFT";"N3N";"3";19;0
"NAVION";"NAVION";"A";98;0
"NAVION";"NAVION";"B";32;0
"NAVION";"NAVION";"D";1;0
"NAVION";"NAVION";"G";22;0
"NAVION";"NAVION";"H";13;0
"NAVION";"NAVION";"UNDESIGNATED SERIES";90;0
"NEW GLASAIR";"GLASAIR III";"NO SERIES EXISTS";3;0
"NEW GLASAIR";"GLASTAR";"NO SERIES EXISTS";13;1
"NON STANDARD";"UNKNOWN";"UNKNOWN";510;3
"NORD";"1101";"NO SERIES EXISTS";2;0
"NORD";"262";"A";69;0
"NORD";"262";"A12";9;0
"NORD";"262";"UNDESIGNATED SERIES";11;0
"NORTH AMERICAN";"A36";"A";18;0
"NORTH AMERICAN";"AT6";"A";6;0
"NORTH AMERICAN";"AT6";"B";1;0
"NORTH AMERICAN";"AT6";"C";4;0
"NORTH AMERICAN";"AT6";"D";27;0
"NORTH AMERICAN";"AT6";"F";4;0
"NORTH AMERICAN";"AT6";"G";7;0
"NORTH AMERICAN";"AT6";"UNDESIGNATED SERIES";16;0
"NORTH AMERICAN";"B25";"J";4;0
"NORTH AMERICAN";"B25";"UNDESIGNATED SERIES";2;0
"NORTH AMERICAN";"F86";"F";2;0
"NORTH AMERICAN";"HARVARD";"IIA";4;0
"NORTH AMERICAN";"HARVARD";"IV";17;0
"NORTH AMERICAN";"L17";"A";3;0
"NORTH AMERICAN";"NA265";"UNDESIGNATED SERIES";20;0
"NORTH AMERICAN";"OV10";"B";1;0
"NORTH AMERICAN";"P51";"D";50;0
"NORTH AMERICAN";"P51";"UNDESIGNATED SERIES";4;0
"NORTH AMERICAN";"SNJ";"2";6;0
"NORTH AMERICAN";"SNJ";"4";19;0
"NORTH AMERICAN";"SNJ";"5";38;0
"NORTH AMERICAN";"SNJ";"6";12;0
"NORTH AMERICAN";"T28";"A";8;0
"NORTH AMERICAN";"T28";"B";21;0
"NORTH AMERICAN";"T28";"C";7;0
"NORTH AMERICAN";"T28";"D";3;0
"NORTH AMERICAN";"T28";"UNDESIGNATED SERIES";9;0
"NORTH AMERICAN";"T6";"G";33;0
"NORTH AMERICAN";"TB25";"N";3;0
"NORTHROP";"T38";"A";1;0
"NORTHROP";"T38";"UNDESIGNATED SERIES";1;0
"OLDFIELD";"BABYLAKES";"NO SERIES EXISTS";23;0
"PAC";"750XL";"NO SERIES EXISTS";21;4
"PARKER";"TEENIE TOO";"NO SERIES EXISTS";19;0
"PARTENAVIA";"P68";"B";2;0
"PARTENAVIA";"P68";"C";1;0
"PEREIRA";"OSPREY";"II";18;0
"PEREYRA";"AVENTURA";"II";9;1
"PIAGGIO";"P136";"L1";2;0
"PIAGGIO";"P180";"AVANTI";26;0
"PICCARD";"AX6";"NO SERIES EXISTS";17;0
"PIETENPOL";"AIRCAMPER";"NO SERIES EXISTS";52;0
"PIETENPOL";"SKYSCOUT";"NO SERIES EXISTS";2;0
"PIK";"PIK20B";"NO SERIES EXISTS";2;0
"PIK";"PIK20D";"NO SERIES EXISTS";3;0
"PIK";"PIK20E";"UNDESIGNATED SERIES";2;0
"PILATUS";"B4";"PC11";1;0
"PILATUS";"P3";"NO SERIES EXISTS";4;0
"PILATUS";"PC12";"45";36;0
"PILATUS";"PC12";"47";5;0
"PILATUS";"PC12";"47E";3;0
"PILATUS";"PC12";"UNDESIGNATED SERIES";6;1
"PILATUS";"PC21";"NO SERIES EXISTS";1;0
"PILATUS";"PC6";"B1H2";2;0
"PILATUS";"PC6";"B2H4";3;1
"PILATUS";"PC7";"NO SERIES EXISTS";1;0
"PIPER";"HE1";"NO SERIES EXISTS";1;0
"PIPER";"J2";"NO SERIES EXISTS";3;0
"PIPER";"J3";"NO SERIES EXISTS";45;0
"PIPER";"J3C";"40";1;0
"PIPER";"J3C";"65";260;1
"PIPER";"J3C";"65S";1;0
"PIPER";"J3C";"UNDESIGNATED SERIES";11;0
"PIPER";"J3F";"60";2;0
"PIPER";"J3F";"65";13;0
"PIPER";"J3L";"65";15;0
"PIPER";"J4";"A";18;0
"PIPER";"J4";"AS";2;0
"PIPER";"J4";"UNDESIGNATED SERIES";4;0
"PIPER";"J4E";"NO SERIES EXISTS";5;0
"PIPER";"J5A";"UNDESIGNATED SERIES";40;0
"PIPER";"J5B";"NO SERIES EXISTS";1;0
"PIPER";"J5C";"NO SERIES EXISTS";2;0
"PIPER";"L18";"C";1;0
"PIPER";"L21";"A";1;0
"PIPER";"L21";"B";7;0
"PIPER";"L4";"UNDESIGNATED SERIES";2;0
"PIPER";"PA11";"NO SERIES EXISTS";55;0
"PIPER";"PA11S";"NO SERIES EXISTS";1;0
"PIPER";"PA12";"NO SERIES EXISTS";195;0
"PIPER";"PA14";"NO SERIES EXISTS";18;0
"PIPER";"PA15";"NO SERIES EXISTS";10;0
"PIPER";"PA16";"NO SERIES EXISTS";34;0
"PIPER";"PA16S";"NO SERIES EXISTS";1;0
"PIPER";"PA17";"NO SERIES EXISTS";15;0
"PIPER";"PA18";"105 SPECIAL";2;0
"PIPER";"PA18";"105SPECIAL";17;0
"PIPER";"PA18";"125";23;0
"PIPER";"PA18";"135";49;0
"PIPER";"PA18";"150";383;1
"PIPER";"PA18";"A";29;0
"PIPER";"PA18";"A135";5;0
"PIPER";"PA18";"A150";55;0
"PIPER";"PA18";"AS125";3;0
"PIPER";"PA18";"UNDESIGNATED SERIES";163;0
"PIPER";"PA18S";"135";4;0
"PIPER";"PA18S";"150";1;0
"PIPER";"PA18S";"UNDESIGNATED SERIES";5;0
"PIPER";"PA19";"NO SERIES EXISTS";1;0
"PIPER";"PA20";"135";16;0
"PIPER";"PA20";"UNDESIGNATED SERIES";90;0
"PIPER";"PA20S";"UNDESIGNATED SERIES";1;0
"PIPER";"PA22";"108";76;0
"PIPER";"PA22";"135";54;0
"PIPER";"PA22";"150";179;1
"PIPER";"PA22";"160";70;0
"PIPER";"PA22";"UNDESIGNATED SERIES";62;0
"PIPER";"PA22S";"150";3;0
"PIPER";"PA23";"160";137;0
"PIPER";"PA23";"235";13;0
"PIPER";"PA23";"250";857;0
"PIPER";"PA23";"UNDESIGNATED SERIES";168;0
"PIPER";"PA24";"250";745;0
"PIPER";"PA24";"260";282;0
"PIPER";"PA24";"400";27;0
"PIPER";"PA24";"UNDESIGNATED SERIES";321;0
"PIPER";"PA25";"235";166;0
"PIPER";"PA25";"260";31;0
"PIPER";"PA25";"UNDESIGNATED SERIES";30;0
"PIPER";"PA28";"140";1130;0
"PIPER";"PA28";"150";36;0
"PIPER";"PA28";"151";301;0
"PIPER";"PA28";"160";64;0
"PIPER";"PA28";"161";851;0
"PIPER";"PA28";"180";786;0
"PIPER";"PA28";"181";672;0
"PIPER";"PA28";"201T";37;0
"PIPER";"PA28";"235";164;0
"PIPER";"PA28";"236";81;0
"PIPER";"PA28";"UNDESIGNATED SERIES";160;0
"PIPER";"PA28R";"180";245;1
"PIPER";"PA28R";"200";899;0
"PIPER";"PA28R";"201";249;0
"PIPER";"PA28R";"201T";208;0
"PIPER";"PA28RT";"201";162;0
"PIPER";"PA28RT";"201T";139;0
"PIPER";"PA28S";"UNDESIGNATED SERIES";1;0
"PIPER";"PA30";"NO SERIES EXISTS";447;0
"PIPER";"PA31";"300";13;0
"PIPER";"PA31";"325";85;0
"PIPER";"PA31";"350";741;1
"PIPER";"PA31";"UNDESIGNATED SERIES";262;3
"PIPER";"PA31P";"350";7;0
"PIPER";"PA31P";"UNDESIGNATED SERIES";61;0
"PIPER";"PA31T";"1";56;1
"PIPER";"PA31T";"2";22;0
"PIPER";"PA31T";"3";11;0
"PIPER";"PA31T";"UNDESIGNATED SERIES";151;0
"PIPER";"PA32";"260";192;0
"PIPER";"PA32";"300";315;2
"PIPER";"PA32";"301";72;0
"PIPER";"PA32";"301FT";2;0
"PIPER";"PA32";"301T";25;0
"PIPER";"PA32";"301XTC";1;0
